2025-04-09T17:14:38.539983 | 824714615 | LKOH | REGULAR | Price: 6163.0
2025-04-09T17:19:38.720994 | 5364888869 | LKOH | REGULAR | Price: 6174.0
2025-04-09T17:24:38.267344 | 824714615 | LKOH | REGULAR | Price: 6189.0
2025-04-09T17:35:20.190160 | 824714615 | LKOH | REGULAR | Price: 6203.0
2025-04-09T17:35:20.875419 | 5364888869 | LKOH | REGULAR | Price: 6202.5
2025-04-09T17:44:39.669929 | 824714615 | LKOH | REGULAR | Price: 6193.5
2025-04-09T17:49:00.544245 | 5364888869 | LKOH | REGULAR | Price: 6204.5
2025-04-09T17:54:39.968097 | 824714615 | LKOH | REGULAR | Price: 6177.0
2025-04-09T18:05:18.123031 | 824714615 | LKOH | REGULAR | Price: 6187.0
2025-04-09T18:05:21.088660 | 5364888869 | LKOH | REGULAR | Price: 6187.0
2025-04-09T18:10:15.386973 | 5364888869 | BTCUSDT | REGULAR | Price: 76903.86
2025-04-09T18:14:39.279348 | 824714615 | LKOH | REGULAR | Price: 6209.5
2025-04-09T18:20:20.607693 | 5364888869 | LKOH | REGULAR | Price: 6213.5
2025-04-09T18:20:21.366197 | 5364888869 | BTCUSDT | REGULAR | Price: 76977.24
2025-04-09T18:24:01.674210 | 824714615 | LKOH | REGULAR | Price: 6219.5
2025-04-09T18:29:36.974344 | 5364888869 | BTCUSDT | REGULAR | Price: 76855.77
2025-04-09T18:34:39.946913 | 824714615 | LKOH | REGULAR | Price: 6208.0
2025-04-09T18:43:59.891927 | 824714615 | LKOH | REGULAR | Price: 6209.5
2025-04-09T18:54:04.606150 | 824714615 | LKOH | REGULAR | Price: 6206.5
2025-04-09T19:04:00.089932 | 824714615 | LKOH | REGULAR | Price: 6228.5
2025-04-09T19:14:39.016920 | 824714615 | LKOH | REGULAR | Price: 6247.0
2025-04-09T19:24:38.210591 | 824714615 | LKOH | REGULAR | Price: 6231.0
2025-04-09T19:34:38.088620 | 824714615 | LKOH | REGULAR | Price: 6243.0
2025-04-09T19:44:37.544083 | 824714615 | LKOH | REGULAR | Price: 6212.0
2025-04-09T19:53:23.657747 | 824714615 | LKOH | REGULAR | Price: 6215.0
2025-04-09T20:21:21.167788 | 824714615 | LKOH | REGULAR | Price: 6194.0
2025-04-09T20:31:21.750796 | 824714615 | LKOH | REGULAR | Price: 6202.0
2025-04-09T20:41:22.186124 | 824714615 | LKOH | REGULAR | Price: 6217.0
2025-04-09T20:51:21.448063 | 824714615 | LKOH | REGULAR | Price: 6201.5
2025-04-09T21:02:00.597276 | 824714615 | LKOH | REGULAR | Price: 6208.5
2025-04-09T21:02:03.502967 | 5364888869 | LKOH | REGULAR | Price: 6208.5
2025-04-09T21:11:21.415664 | 824714615 | LKOH | REGULAR | Price: 6208.5
2025-04-09T21:21:21.691043 | 824714615 | LKOH | REGULAR | Price: 6192.0
2025-04-09T21:30:45.046405 | 824714615 | LKOH | REGULAR | Price: 6229.0
2025-04-09T21:41:21.370005 | 824714615 | LKOH | REGULAR | Price: 6231.0
2025-04-09T21:51:21.235772 | 824714615 | LKOH | REGULAR | Price: 6264.0
2025-04-09T22:02:00.961276 | 824714615 | LKOH | REGULAR | Price: 6273.5
2025-04-09T22:02:04.069942 | 5364888869 | LKOH | REGULAR | Price: 6273.5
2025-04-09T22:11:21.225770 | 824714615 | LKOH | REGULAR | Price: 6274.5
2025-04-09T22:21:21.909584 | 824714615 | LKOH | REGULAR | Price: 6293.5
2025-04-09T22:30:43.001749 | 824714615 | LKOH | REGULAR | Price: 6267.5
2025-04-09T22:40:42.537829 | 824714615 | LKOH | REGULAR | Price: 6436.0
2025-04-09T23:00:43.063568 | 824714615 | LKOH | REGULAR | Price: 6454.5
2025-04-09T23:00:55.215976 | 5364888869 | LKOH | REGULAR | Price: 6454.5
2025-04-11T13:49:22.718721 | 824714615 | LKOH | REGULAR | Price: 6469.5
2025-04-11T13:57:27.542029 | 824714615 | LKOH | REGULAR | Price: 6467.0
2025-04-11T14:07:29.552622 | 824714615 | LKOH | REGULAR | Price: 6475.0
2025-04-11T14:17:32.601643 | 824714615 | LKOH | REGULAR | Price: 6477.0
2025-04-11T14:27:20.914428 | 824714615 | LKOH | REGULAR | Price: 6460.0
2025-04-11T14:38:06.037392 | 824714615 | LKOH | REGULAR | Price: 6476.0
2025-04-11T14:38:07.278446 | 5364888869 | LKOH | REGULAR | Price: 6476.0
2025-04-11T14:57:17.180915 | 824714615 | LKOH | REGULAR | Price: 6494.0
2025-04-11T15:06:03.063143 | 824714615 | LKOH | REGULAR | Price: 6503.0
2025-04-11T15:26:02.519311 | 824714615 | LKOH | REGULAR | Price: 6496.0
2025-04-11T15:36:07.686884 | 5364888869 | LKOH | REGULAR | Price: 6515.0
2025-04-11T15:36:08.771845 | 824714615 | LKOH | REGULAR | Price: 6515.0
2025-04-11T15:46:02.450723 | 824714615 | LKOH | REGULAR | Price: 6523.0
2025-04-11T15:56:05.002056 | 824714615 | LKOH | REGULAR | Price: 6522.0
2025-04-11T16:06:04.326048 | 824714615 | LKOH | REGULAR | Price: 6524.5
2025-04-11T16:17:20.560143 | 824714615 | LKOH | REGULAR | Price: 6517.0
2025-04-11T16:26:04.957456 | 824714615 | LKOH | REGULAR | Price: 6522.0
2025-04-11T16:37:57.290679 | 824714615 | LKOH | REGULAR | Price: 6509.0
2025-04-11T16:38:00.239202 | 5364888869 | LKOH | REGULAR | Price: 6509.0
2025-04-11T17:06:05.985718 | 824714615 | LKOH | REGULAR | Price: 6501.5
2025-04-11T17:26:04.428369 | 824714615 | LKOH | REGULAR | Price: 6488.5
2025-04-11T17:36:08.373560 | 824714615 | LKOH | REGULAR | Price: 6496.0
2025-04-11T17:36:09.164637 | 5364888869 | LKOH | REGULAR | Price: 6496.0
2025-04-11T17:46:04.481853 | 824714615 | LKOH | REGULAR | Price: 6498.5
2025-04-11T17:56:10.864832 | 824714615 | LKOH | REGULAR | Price: 6515.0
2025-04-11T18:06:04.586015 | 824714615 | LKOH | REGULAR | Price: 6508.0
2025-04-11T18:36:03.905367 | 5364888869 | LKOH | REGULAR | Price: 6457.0
2025-04-11T18:36:06.658409 | 824714615 | LKOH | REGULAR | Price: 6457.0
2025-04-11T19:36:03.504926 | 5364888869 | LKOH | REGULAR | Price: 6475.5
2025-04-11T20:06:03.233837 | 824714615 | LKOH | REGULAR | Price: 6478.5
2025-04-11T20:17:17.973858 | 824714615 | LKOH | REGULAR | Price: 6485.5
2025-04-11T20:27:22.497511 | 824714615 | LKOH | REGULAR | Price: 6485.0
2025-04-11T20:37:18.745805 | 824714615 | LKOH | REGULAR | Price: 6507.5
2025-04-11T20:37:21.453638 | 5364888869 | LKOH | REGULAR | Price: 6507.5
2025-04-11T20:47:17.522003 | 824714615 | LKOH | REGULAR | Price: 6517.5
