Дата,User ID,Username,Function Type
2025-04-27 21:14:11,5364888869,noon_day,main_menu
2025-04-27 21:14:13,5364888869,noon_day,list_trackings
2025-04-27 21:14:24,5364888869,noon_day,main_menu
2025-04-27 21:14:25,5364888869,noon_day,regular_set_ticker
2025-04-27 21:14:26,5364888869,noon_day,regular_set_interval
2025-04-27 21:14:27,5364888869,noon_day,regular_confirm
2025-04-27 21:14:28,5364888869,noon_day,main_menu
2025-04-27 21:14:31,5364888869,noon_day,main_menu
2025-04-27 21:14:32,5364888869,noon_day,list_trackings
2025-04-27 21:16:01,5364888869,noon_day,main_menu
2025-04-27 21:17:51,5364888869,noon_day,main_menu
2025-04-27 21:17:54,5364888869,noon_day,list_trackings
2025-04-27 21:17:56,5364888869,noon_day,main_menu
2025-04-27 21:17:58,5364888869,noon_day,delete_menu
2025-04-27 21:17:59,5364888869,noon_day,delete_regular_list
2025-04-27 21:18:01,5364888869,noon_day,delete_regular_confirm
2025-04-27 21:18:02,5364888869,noon_day,delete_regular_list
2025-04-27 21:18:03,5364888869,noon_day,delete_regular_confirm
2025-04-27 21:18:03,5364888869,noon_day,delete_regular_list
2025-04-27 22:04:46,5364888869,noon_day,main_menu
2025-04-27 22:04:48,5364888869,noon_day,regular_set_ticker
2025-04-27 22:04:50,5364888869,noon_day,regular_set_interval
2025-04-27 22:04:50,5364888869,noon_day,regular_confirm
2025-04-27 22:04:52,5364888869,noon_day,main_menu
2025-04-27 22:04:54,5364888869,noon_day,threshold_set_ticker
2025-04-27 22:04:56,5364888869,noon_day,threshold_set_percent
2025-04-27 22:04:58,5364888869,noon_day,threshold_set_interval
2025-04-27 22:05:00,5364888869,noon_day,threshold_confirm
2025-04-27 22:12:09,5364888869,noon_day,main_menu
2025-04-27 22:12:10,5364888869,noon_day,delete_menu
2025-04-27 22:12:13,5364888869,noon_day,delete_regular_list
2025-04-27 22:13:37,5364888869,noon_day,main_menu
2025-04-27 22:13:40,5364888869,noon_day,list_trackings
2025-04-27 22:13:43,5364888869,noon_day,main_menu
2025-04-27 22:14:06,5364888869,noon_day,main_menu
2025-04-27 22:20:04,5364888869,noon_day,main_menu
2025-04-27 22:20:05,5364888869,noon_day,list_trackings
2025-04-27 22:20:07,5364888869,noon_day,main_menu
2025-04-27 22:20:09,5364888869,noon_day,delete_menu
2025-04-27 22:20:10,5364888869,noon_day,delete_regular_list
2025-04-27 22:20:12,5364888869,noon_day,main_menu
2025-04-27 22:20:22,5364888869,noon_day,delete_menu
2025-04-27 22:20:24,5364888869,noon_day,delete_threshold_list
2025-04-27 22:20:27,5364888869,noon_day,main_menu
2025-04-27 22:20:29,5364888869,noon_day,delete_menu
